# timestamp_ms interaction_rate
1697875697000 2.134733e+04
1697875707000 2.580485e+04
1697875717000 2.366386e+04
1697875727000 2.401656e+04
1697875737000 2.548866e+04
1697875747000 2.209799e+04
1697875757000 2.454399e+04
1697875767000 2.567837e+04
1697875777000 2.567150e+04
1697875787000 2.563507e+04
1697875797000 2.568665e+04
1697875807000 2.575861e+04
1697875817000 2.573813e+04
1697875827000 2.571481e+04
1697875837000 2.568736e+04
1697875847000 2.569020e+04
1697875857000 2.565547e+04
1697875867000 2.561294e+04
1697875877000 2.561364e+04
1697875887000 2.558156e+04
1697875897000 2.553819e+04
1697875907000 2.553643e+04
1697875917000 2.552633e+04
1697875927000 2.548412e+04
1697875937000 2.546238e+04
1697875947000 2.543628e+04
1697875957000 2.542927e+04
1697875967000 2.539445e+04
1697875977000 2.538951e+04
1697875987000 2.536637e+04
1697875997000 2.535066e+04
1697876007000 2.533065e+04
1697876017000 2.532120e+04
1697876027000 2.527757e+04
1697876037000 2.526102e+04
1697876047000 2.524609e+04
1697876057000 2.521676e+04
1697876067000 2.519933e+04
1697876077000 2.516397e+04
1697876087000 2.514902e+04
1697876097000 2.512562e+04
1697876107000 2.510458e+04
1697876117000 2.508839e+04
1697876127000 2.506628e+04
1697876137000 2.504140e+04
1697876147000 2.502813e+04
1697876157000 2.498889e+04
1697876167000 2.498628e+04
1697876177000 2.496615e+04
1697876187000 2.493833e+04
1697876197000 2.492534e+04
1697876207000 2.489764e+04
1697876217000 2.487028e+04
1697876227000 2.484010e+04
1697876237000 2.483347e+04
1697876247000 2.479746e+04
1697876257000 2.477657e+04
1697876267000 2.474727e+04
1697876277000 2.472801e+04
1697876287000 2.472816e+04
1697876297000 2.467455e+04
1697876307000 2.466933e+04
1697876317000 2.463706e+04
1697876327000 2.462952e+04
1697876337000 2.459262e+04
1697876347000 2.456284e+04
1697876357000 2.455400e+04
1697876367000 2.452158e+04
1697876377000 2.449472e+04
1697876387000 2.448007e+04
1697876397000 2.445311e+04
1697876407000 2.442262e+04
1697876417000 2.439568e+04
1697876427000 2.437723e+04
1697876437000 2.436228e+04
1697876447000 2.431447e+04
1697876457000 2.428668e+04
1697876467000 2.428269e+04
1697876477000 2.425655e+04
1697876487000 2.423488e+04
1697876497000 2.422329e+04
1697876507000 2.419075e+04
1697876517000 2.414263e+04
1697876527000 2.412957e+04
1697876537000 2.411999e+04
1697876547000 2.408048e+04
1697876557000 2.406355e+04
1697876567000 2.403233e+04
1697876577000 2.400456e+04
1697876587000 2.401681e+04
1697876597000 2.395515e+04
1697876607000 2.393191e+04
1697876617000 2.390392e+04
1697876627000 2.386379e+04
1697876637000 2.381440e+04
1697876647000 2.384186e+04
1697876657000 2.377721e+04
1697876667000 2.377043e+04
1697876677000 2.373005e+04
1697876687000 2.375147e+04
1697876697000 2.369377e+04
1697876707000 2.366161e+04
1697876717000 2.365611e+04
1697876727000 2.363300e+04
1697876737000 2.356708e+04
1697876747000 2.356770e+04
1697876757000 2.355716e+04
1697876767000 2.352821e+04
1697876777000 2.351442e+04
1697876787000 2.349128e+04
1697876797000 2.346088e+04
1697876807000 2.344173e+04
1697876817000 2.342299e+04
1697876827000 2.339312e+04
1697876837000 2.337751e+04
1697876847000 2.335414e+04
1697876857000 2.330457e+04
1697876867000 2.331650e+04
1697876877000 2.327926e+04
1697876887000 2.326047e+04
1697876897000 2.324647e+04
1697876907000 2.322195e+04
1697876917000 2.317455e+04
1697876927000 2.317987e+04
1697876937000 2.316480e+04
1697876947000 2.314887e+04
1697876957000 2.311024e+04
1697876967000 2.309230e+04
1697876977000 2.307793e+04
1697876987000 2.305099e+04
1697876997000 2.302181e+04
1697877007000 2.302259e+04
1697877017000 2.298233e+04
1697877027000 2.297609e+04
1697877037000 2.294935e+04
1697877047000 2.293395e+04
1697877057000 2.291294e+04
1697877067000 2.289922e+04
1697877077000 2.286265e+04
1697877087000 2.285340e+04
1697877097000 2.282675e+04
1697877107000 2.280013e+04
1697877117000 2.278587e+04
1697877127000 2.277906e+04
1697877137000 2.276150e+04
1697877147000 2.276801e+04
1697877157000 2.274121e+04
1697877167000 2.271003e+04
1697877177000 2.270544e+04
1697877187000 2.267178e+04
1697877197000 2.268195e+04
1697877207000 2.263163e+04
1697877217000 2.262245e+04
1697877227000 2.258525e+04
1697877237000 2.259601e+04
1697877247000 2.259167e+04
1697877257000 2.254786e+04
1697877267000 2.254963e+04
1697877277000 2.251518e+04
1697877287000 2.251771e+04
1697877297000 2.250524e+04
1697877307000 2.248333e+04
1697877317000 2.246395e+04
1697877327000 2.247417e+04
1697877337000 2.244295e+04
1697877347000 2.244062e+04
1697877357000 2.240797e+04
1697877367000 2.239454e+04
1697877377000 2.239106e+04
1697877387000 2.237406e+04
1697877397000 2.235243e+04
1697877407000 2.233296e+04
1697877417000 2.231146e+04
1697877427000 2.228354e+04
1697877437000 2.230271e+04
1697877447000 2.228094e+04
1697877457000 2.225646e+04
1697877467000 2.224289e+04
1697877477000 2.222983e+04
1697877487000 2.221084e+04
1697877497000 2.219753e+04
1697877507000 2.219466e+04
1697877517000 2.217545e+04
1697877527000 2.215092e+04
1697877537000 2.215016e+04
1697877547000 2.212401e+04
1697877557000 2.210847e+04
1697877567000 2.210127e+04
1697877577000 2.211041e+04
1697877587000 2.210093e+04
1697877597000 2.204682e+04
1697877607000 2.205192e+04
1697877617000 2.203624e+04
1697877627000 2.203195e+04
1697877637000 2.202389e+04
1697877647000 2.200812e+04
1697877657000 2.198915e+04
1697877667000 2.198598e+04
1697877677000 2.195874e+04
1697877687000 2.194522e+04
1697877697000 2.193526e+04
1697877707000 2.191283e+04
1697877717000 2.190614e+04
1697877727000 2.189858e+04
1697877737000 2.186980e+04
1697877747000 2.186580e+04
1697877757000 2.184227e+04
1697877767000 2.182744e+04
1697877777000 2.181659e+04
1697877787000 2.182256e+04
1697877797000 2.178122e+04
1697877807000 2.176612e+04
1697877817000 2.176398e+04
1697877827000 2.175373e+04
1697877837000 2.172370e+04
1697877847000 2.172370e+04
1697877857000 2.171276e+04
1697877867000 2.168585e+04
1697877877000 2.166151e+04
1697877887000 2.165182e+04
1697877897000 2.164155e+04
1697877907000 2.162725e+04
1697877917000 2.161009e+04
1697877927000 2.159635e+04
1697877937000 2.157926e+04
1697877947000 2.156898e+04
1697877957000 2.156299e+04
1697877967000 2.153938e+04
1697877969000 2.024306e+04
